	Day of Operation	Temperature (°C)	HRT (h)	SRT (h)	OLR (kg/m3/d)	Influent COD concentration (mg/L)	Permeate COD concentration (mg/L)	COD removal efficiency (%)	EETRatio (%)	EET/MAGs	Epili/MAGs	MHC/MAGs	oxiEET/MAGs	redEET/MAGs
Day of Operation	0	0.0024	0	0	0.0296	0.7394	0.5048	0.0255	0.5463	0.9673	0.2293	0.3173	0.7338	0.4192
Temperature (°C)	0.0024	0	0.0001	0.0047	0.2608	0.677	0.0607	0	0.4197	0.9477	0.3161	0.2246	0.4837	0.7156
HRT (h)	0	0.0001	0	0.0005	0.0343	0.7204	0.361	0.0013	0.5174	0.9732	0.1759	0.2898	0.6281	0.4449
SRT (h)	0	0.0047	0.0005	0	0.1435	0.7785	0.275	0.0548	0.4873	0.9278	0.408	0.2791	0.7127	0.5788
OLR (kg/m3/d)	0.0296	0.2608	0.0343	0.1435	0	0.0047	0.1562	0.2956	0.9588	0.9678	0.088	0.8639	0.9009	0.172
Influent COD concentration (mg/L)	0.7394	0.677	0.7204	0.7785	0.0047	0	0.0015	0.8384	0.5742	0.9337	0.2171	0.5752	0.6482	0.2461
Permeate COD concentration (mg/L)	0.5048	0.0607	0.361	0.275	0.1562	0.0015	0	0.0822	0.4074	0.9942	0.6562	0.3143	0.4476	0.4411
COD removal efficiency (%)	0.0255	0	0.0013	0.0548	0.2956	0.8384	0.0822	0	0.4745	0.8921	0.2853	0.2832	0.4637	0.742
EETRatio (%)	0.5463	0.4197	0.5174	0.4873	0.9588	0.5742	0.4074	0.4745	0	0.1103	0.5417	0.0001	0.0162	0.0583
EET/MAGs	0.9673	0.9477	0.9732	0.9278	0.9678	0.9337	0.9942	0.8921	0.1103	0	0.7093	0.0298	0.0264	0.0396
Epili/MAGs	0.2293	0.3161	0.1759	0.408	0.088	0.2171	0.6562	0.2853	0.5417	0.7093	0	0.753	0.1455	0.7991
MHC/MAGs	0.3173	0.2246	0.2898	0.2791	0.8639	0.5752	0.3143	0.2832	0.0001	0.0298	0.753	0	0.0071	0.0501
oxiEET/MAGs	0.7338	0.4837	0.6281	0.7127	0.9009	0.6482	0.4476	0.4637	0.0162	0.0264	0.1455	0.0071	0	0.0743
redEET/MAGs	0.4192	0.7156	0.4449	0.5788	0.172	0.2461	0.4411	0.742	0.0583	0.0396	0.7991	0.0501	0.0743	0
